Cluster,Nom de la chaîne,Vol. abonnés,Vol. vues,Vol. vidéos,Autorité
B1,NCT - La Chaîne du Vélo,102000,33552876,889,30
B1,Velo2max,13100,1339785,43,7
F,Gravel & Bike,63800,11637761,267,18
H,Top Vélo,18700,5929796,324,13
B2,NOÉMIE,18500,3014817,168,10
B1,Quentin R. Cycling,67000,15712790,576,21
G,Aurelien Fontenoy,1080000,392308285,779,100
B2,Nico à vélo,33600,1501981,284,8
A1,enDHurobike,84700,19862574,486,23
A1,Bikelive by Vélo Tout Terrain,113000,18528638,325,23
C2,Le Vélo Urbain,9710,1730175,245,8
C2,Quel Velo,9550,1698637,94,8
E,Vintage Queen Bike Repair,31000,16340833,636,21
D1,Voies Recyclables | Voyages à vélo,25400,2829473,146,10
G,Patrox Bikelife,149000,19705945,370,24
B3,L'expert vélo,18500,5827794,342,13
A2,Bonvelo,10300,786908,91,6
B1,Mon Coach Vélo,69300,11540889,679,18
H,Transition Vélo,12700,3692535,530,11
F,Gravel Bike des Savoie,12000,2101869,163,8
A2,Maxonbike VTT,12000,2005015,193,8
A1,ClubVTT Maximilien DUPREY,83400,29682178,747,28
E,The Vintage Bike Factory,41400,7070187,322,15
D1,CYCLO VOYAGE avec Gaetan,13600,3173728,333,10
D1,Charles en vélo,7210,669275,223,5
A1,Vélo Tout Tordu,9440,878915,40,6
D1,Axel Carion,20500,2032291,163,8
A2,RS Bike,40200,3951469,154,11
D1,Benjam MT / BIKEPACKING,13900,2993444,385,10
A2,MeyerMTB,20400,4374353,307,12
A2,BLEAU UP,57600,8692037,153,16
B3,La Science du Cyclisme,21700,1924425,170,8
H,Uec Cyclisme,13900,2925026,1327,10
H,GCN en Français,214000,79906084,1618,46
B1,Jeune Cycliste Dynamique,28600,4308642,211,12
H,Cyclism'Actu TV,54500,48543632,4680,35
D2,Cols Cyclisme,9030,386417,91,4
H,Ligue Nationale de Cyclisme,8040,2656444,430,9
F,"Bistrot Gravier - Gravel & Bikepacking ",12300,625571,77,5
D2,Guillaume fait du vélo,10000,9313938,739,16
C2,Materiel-velo.com,8530,4276755,347,11
A1,FROST VTT,10500,999667,60,6
D2,Simon Barret à vélo,8400,1433602,296,7
G,Philippe Cantenot,954000,195328710,417,72
B1,Lejeune Cycliste Vendéen,16400,2176095,54,9
B1,"Cycliste Actuelle ",17200,1233314,199,7
B2,Marion Vlt,29800,5679488,270,13
C1,Bibibike,10300,2616317,303,9
C2,"La Fabrique ",13100,5504825,164,13
C1,Altis play,90600,24291645,487,26
G,Pierre SORIOT,457000,99625215,432,51
C2,Lecyclo_com,31500,18754792,1104,23
C2,Cleanrider,21100,5179269,296,12
G,MrKotam,276000,30101423,104,29
C2,Les Vélos Électriques,29400,2047757,244,8
B3,Physiovélo,62000,6251166,1044,14
A1,Vojo Magazine,26600,6452078,295,14
C2,103 mob stories,211000,70592649,1006,43
C2,Velobecane,10300,2879139,178,10
B2,La Pause Vélo,52400,6455324,269,14
B1,DECATHLON CMA CGM TEAM,31800,15942181,1246,21
B1,Augustin Rides,11500,1011639,44,6
